ranking,song,band_singer,Gender,songurl,titletext,url,year,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
22,You Sang to Me,Marc Anthony,#N/A,/wiki/You_Sang_to_Me,You Sang to Me,/wiki/Marc_Anthony,2000,2dwhMQsFeHr2S787WxqAqW,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66E-06,0.216,0.741,165.98,audio_features,2dwhMQsFeHr2S787WxqAqW,https://api.spotify.com/v1/tracks/2dwhMQsFeHr2S787WxqAqW,https://api.spotify.com/v1/audio-analysis/2dwhMQsFeHr2S787WxqAqW,347107,4
23,I Need to Know,Marc Anthony,#N/A,/wiki/I_Need_to_Know_(Marc_Anthony_song),I Need to Know,/wiki/Marc_Anthony,2000,7ffwRz8lZyDOE4Vj58Lo72,0.813,0.949,3,-2.563,0,0.0336,0.486,9.75E-06,0.112,0.792,115.061,audio_features,7ffwRz8lZyDOE4Vj58Lo72,https://api.spotify.com/v1/tracks/7ffwRz8lZyDOE4Vj58Lo72,https://api.spotify.com/v1/audio-analysis/7ffwRz8lZyDOE4Vj58Lo72,227707,4
24,Get It On Tonite,Montell Jordan,#N/A,/wiki/Get_It_On_Tonite,Get It On Tonite,/wiki/Montell_Jordan,2000,0AcLrSfAEBQcUnHOTm5pXg,0.807,0.498,10,-9.91,0,0.0756,0.259,3.04E-05,0.0618,0.857,99.001,audio_features,0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/tracks/0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/audio-analysis/0AcLrSfAEBQcUnHOTm5pXg,277413,4
25,Incomplete,Sisqó,#N/A,/wiki/Incomplete_(Sisq%C3%B3_song),Incomplete,/wiki/Sisq%C3%B3,2000,3w8Mw9GHYepoTWOSdiyosj,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,audio_features,3w8Mw9GHYepoTWOSdiyosj,https://api.spotify.com/v1/tracks/3w8Mw9GHYepoTWOSdiyosj,https://api.spotify.com/v1/audio-analysis/3w8Mw9GHYepoTWOSdiyosj,274227,4
26,I Try,Macy Gray,#N/A,/wiki/I_Try,I Try,/wiki/Macy_Gray,2000,5TAf4lnZCZTLlZHNZMLFLi,0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,audio_features,5TAf4lnZCZTLlZHNZMLFLi,https://api.spotify.com/v1/tracks/5TAf4lnZCZTLlZHNZMLFLi,https://api.spotify.com/v1/audio-analysis/5TAf4lnZCZTLlZHNZMLFLi,239440,4
27,It's Gonna Be Me,'N Sync,#N/A,/wiki/It%27s_Gonna_Be_Me_(%27N_Sync_song),It's Gonna Be Me,/wiki/NSYNC,2000,2n3Ot3QDWJBI9itZEiBhYl,0.81,0.48,8,-12.446,1,0.138,0.0188,1.58E-05,0.0807,0.672,82.493,audio_features,2n3Ot3QDWJBI9itZEiBhYl,https://api.spotify.com/v1/tracks/2n3Ot3QDWJBI9itZEiBhYl,https://api.spotify.com/v1/audio-analysis/2n3Ot3QDWJBI9itZEiBhYl,193278,4
28,That's the Way It Is,Celine Dion,#N/A,/wiki/That%27s_the_Way_It_Is_(Celine_Dion_song),That's the Way It Is,/wiki/Celine_Dion,2000,5s4catxeZsaWFnOrvrXZHf,0.634,0.886,9,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04,,,,,,
29,Country Grammar (Hot Shit),Nelly,Solo Male,/wiki/Country_Grammar_(Hot_Shit),Country Grammar (Hot Shit),/wiki/Nelly,2000,3wMUvT6eIw2L5cZFG1yH9j,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831,audio_features,3wMUvT6eIw2L5cZFG1yH9j,https://api.spotify.com/v1/tracks/3wMUvT6eIw2L5cZFG1yH9j,https://api.spotify.com/v1/audio-analysis/3wMUvT6eIw2L5cZFG1yH9j,287000,4
30,Bring It All to Me,Blaque,#N/A,/wiki/Bring_It_All_to_Me,Bring It All to Me,/wiki/Blaque,2000,1cjBan0t4eBk2Y5j17hdyf,0.695,0.579,0,-5.066,1,0.0325,0.000479,0,0.0556,0.726,88.957,audio_features,1cjBan0t4eBk2Y5j17hdyf,https://api.spotify.com/v1/tracks/1cjBan0t4eBk2Y5j17hdyf,https://api.spotify.com/v1/audio-analysis/1cjBan0t4eBk2Y5j17hdyf,218187,4
31,Show Me the Meaning of Being Lonely,Backstreet Boys,#N/A,/wiki/Show_Me_the_Meaning_of_Being_Lonely,Show Me the Meaning of Being Lonely,/wiki/Backstreet_Boys,2000,3BsaRV5QIulYz2lV9WWa8T,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,audio_features,3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/tracks/3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/audio-analysis/3BsaRV5QIulYz2lV9WWa8T,234960,4
